"Stage","ID","Asset Name","Coupon","PACE Asset Balance","Closing Date","Maturity Date"," Term (Years)","Amortization Start Date","Cap-I End Date","Payments per Year","Current Total Debt MTG + PACE","Mortgage Balance","Total Project Budget","as-is Property Value","as-complete Property Value","as-stabilized Property value","as-stabilized PACE LTV","as-stabilized Mortgage LTV","as-stabilized Combined LTV","Under-Written DSVR","City","State","Property Type","Project Type","PACE Program","Closing Year","Maturity Year"
"05 Servicing","21-46","Hall of Fame Village – Center of Excellence ","6.05","8250966","2021-12-15","2047-07-31",25,"2022-11-15","2022-11-14",2,"30290966","22040000","50238080.00","20800000","20800000","28400000","29.0526971830986","77.6056338028169","106.658330985915","1.23","Canton","OH","Office","Retrofit","Canton Regional ESID","2021","2047"
"05 Servicing","21-45","A&B Fairfield Chino","5.6","5019211","2021-09-29","2053-04-10",30,"2023-09-03","2023-09-02",2,"11719211","6700000","16662107.00","6300000","21000000","23300000","21.541678111588","28.755364806867","50.2970429184549","1.88","Chino","CA","Hotel","New Construction","CSCDA Open PACE","2021","2053"
"05 Servicing","21-39","Boldt - NP Arden Hills","5.7","9661690","2021-09-23","2043-10-15",20,"2024-02-18","2024-02-17",2,"40147977","30486287","48563670.00","3050000","50100000","60500000","15.9697355371901","50.3905570247934","66.3602925619835","1.44","Arden Hills","MN","Assisted Living","New Construction","Minnesota PACE","2021","2043"
"05 Servicing","21-38","Sower Capital - Regency","5.8","2563724","2021-08-31","2049-12-31",28,"2022-01-31","2022-01-30",2,"18608771","16045047","23803102.00","5500000","19900000","23600000","10.8632372881356","67.9874872881356","78.8507245762712","1.34","Omaha","NE","Office","Major Renovation","Nebraska - ENCEAD (Omaha)","2021","2049"
"05 Servicing","21-35","Boldt - NP Waukesha","5.6","7270958","2021-12-22","2047-07-31",25,"2022-09-30","2022-09-29",2,"34163458","26892500","44389814.00","1000000","36800000","44500000","16.3392314606742","60.4325842696629","76.7718157303371","1.3","Waukesha","WI","Assisted Living","New Construction","Wisconsin PACE Commission ","2021","2047"
"05 Servicing","21-34","Boldt - NP Franklin","5.6","8003461","2021-12-20","2047-07-31",25,"2022-09-30","2022-09-29",2,"36058461","28055000","47683183.00","1400000","39500000","47800000","16.7436422594142","58.6924686192469","75.4361108786611","1.32","Franklin","WI","Assisted Living","New Construction","Wisconsin PACE Commission ","2021","2047"
"05 Servicing","21-33","Renew - Geneva TPS","5.85","1213238","2022-02-17","2051-07-31",28,"2023-11-15","2023-11-14",2,"11933238","10720000","16083238.00","330000","13100000","14300000","8.48418181818182","74.965034965035","83.4492167832168","1.33","Geneva (Township of Harpersfield)","OH","Hotel","New Construction","Ohio PACE ESIDs","2022","2051"
"05 Servicing","21-30","Robinson - Doubletree","5.7","609548","2021-07-20","2040-12-31",18,"2023-01-01","2022-12-31",1,"16834548","16225000","27639548.00","23000000","29600000","33800000","1.80339644970414","48.0029585798817","49.8063550295858","2.35","Tulsa","OK","Hotel","Retrofit","Oklahoma C-PACE (except OK County)","2021","2040"
"05 Servicing","21-29","Wallick - Beavercreek","5.7","5362141","2021-10-08","2051-07-31",28,"2023-11-15","2023-11-14",2,"26575141","21213000","29534653.00","840000","29900000","33200000","16.1510271084337","63.894578313253","80.0456054216867","1.28","Beavercreek","OH","Assisted Living","New Construction","Beaver Creek Energy Special Improvement District, Inc","2021","2051"
"05 Servicing","21-24","Corsair - Burleson","5.7","4422292","2021-06-11","2050-11-30",28,"2023-01-01","2022-12-31",2,"21105888","16683596","29500856.00","1300000","29200000","31700000","13.9504479495268","52.6296403785489","66.5800883280757","1.15","Burleson ","TX","Multifamily","New Construction","Lone Star PACE","2021","2050"
